Protein1,Protein2,Confidence,Comment
PA4473,PA4261,1,In_reference_set
PA4274,PA4273,1,In_reference_set
PA0464,PA4983,1,In_reference_set
PA1616,PA0837,1,In_reference_set
PA4753,PA4563,1,In_reference_set
PA0972,PA1946,1,In_reference_set
PA4964,PA4481,1,In_reference_set
PA3120,PA3118,1,In_reference_set
PA5070,PA5016,1,In_reference_set
PA5553,PA5558,1,In_reference_set
PA0336,PA4246,1,In_reference_set
PA4270,PA5239,1,In_reference_set
PA4760,PA4261,1,In_reference_set
PA3011,PA3344,1,In_reference_set
PA1082,PA1083,1,In_reference_set
PA5493,PA1804,1,In_reference_set
PA3879,PA3878,1,In_reference_set
PA3875,PA4481,1,In_reference_set
PA2616,PA1008,1,In_reference_set
PA2840,PA4267,1,In_reference_set
PA1758,PA0649,1,In_reference_set
PA0354,PA4250,1,In_reference_set
PA4753,PA4263,1,In_reference_set
PA5569,PA4753,1,In_reference_set
PA3823,PA5016,1,In_reference_set
PA1781,PA1780,1,In_reference_set
PA4760,PA2341,1,In_reference_set
PA1210,PA0962,1,In_reference_set
PA1179,PA5344,1,In_reference_set
PA5296,PA5443,1,In_reference_set
PA4261,PA4237,1,In_reference_set
PA0576,PA4270,1,In_reference_set
PA4269,PA4262,1,In_reference_set
PA5556,PA4967,1,In_reference_set
PA0967,PA0964,1,In_reference_set
PA3580,PA4271,1,In_reference_set
PA0580,PA5015,1,In_reference_set
PA0177,PA4953,1,In_reference_set
PA2647,PA2639,1,In_reference_set
PA4473,PA4252,1,In_reference_set
PA1078,PA1443,1,In_reference_set
PA4261,PA4252,1,In_reference_set
PA0354,PA4261,1,In_reference_set
PA5303,PA0002,1,In_reference_set
PA4239,PA4243,1,In_reference_set
PA2649,PA2643,1,In_reference_set
PA2585,PA4257,1,In_reference_set
PA2966,PA3646,1,In_reference_set
PA3832,PA0966,1,In_reference_set
PA4275,PA4258,1,In_reference_set
PA2840,PA4252,1,In_reference_set
PA0354,PA4932,1,In_reference_set
PA4418,PA4407,1,In_reference_set
PA4407,PA0148,1,In_reference_set
PA2641,PA2640,1,In_reference_set
PA4752,PA2620,1,In_reference_set
PA5054,PA4277,1,In_reference_set
PA3646,PA4246,1,In_reference_set
PA0999,PA1609,1,In_reference_set
PA5193,PA3656,1,In_reference_set
PA4261,PA4262,1,In_reference_set
PA2812,PA4263,1,In_reference_set
PA4761,PA3656,1,In_reference_set
PA2966,PA5016,1,In_reference_set
PA0008,PA4385,1,In_reference_set
PA0501,PA4385,1,In_reference_set
PA4258,PA4262,1,In_reference_set
PA5365,PA5366,1,In_reference_set
PA0967,PA5345,1,In_reference_set
PA0382,PA3981,1,In_reference_set
PA5063,PA4277,1,In_reference_set
PA3639,PA4744,1,In_reference_set
PA3654,PA4385,1,In_reference_set
PA0559,PA5016,1,In_reference_set
PA3654,PA4262,1,In_reference_set
PA3297,PA4277,1,In_reference_set
PA1585,PA1588,1,In_reference_set
PA4964,PA0837,1,In_reference_set
PA2966,PA1587,1,In_reference_set
PA4458,PA0837,1,In_reference_set
PA3806,PA3656,1,In_reference_set
PA5260,PA5034,1,In_reference_set
PA3622,PA4277,1,In_reference_set
PA4411,PA4277,1,In_reference_set
PA5550,PA4262,1,In_reference_set
PA0363,PA5345,1,In_reference_set
PA1078,PA1104,1,In_reference_set
PA4238,PA4249,1,In_reference_set
PA2740,PA4385,1,In_reference_set
PA5338,PA4263,1,In_reference_set
PA4241,PA2071,1,In_reference_set
PA3377,PA3380,1,In_reference_set
PA5200,PA3204,1,In_reference_set
PA0967,PA4761,1,In_reference_set
PA4246,PA4241,1,In_reference_set
